Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Pct_Change
2024-11-29 00:00:00-05:00,,,,,0,0.38,0.0,
2024-12-02 00:00:00-05:00,83.72000122070312,84.08999633789062,82.9800033569336,83.94000244140625,1625600,0.0,0.0,
2024-12-03 00:00:00-05:00,82.94000244140625,84.19000244140625,82.87999725341797,84.0,2250500,0.0,0.0,-0.9316755469707116
2024-12-04 00:00:00-05:00,82.5199966430664,82.79000091552734,81.66000366210938,82.79000091552734,2088500,0.0,0.0,-0.5063971376617182
2024-12-05 00:00:00-05:00,81.73999786376953,82.62999725341797,81.52999877929688,82.44999694824219,1741000,0.0,0.0,-0.9452239590734601
2024-12-06 00:00:00-05:00,82.81999969482422,82.9000015258789,81.63999938964844,81.9000015258789,2789600,0.0,0.0,1.3212648143870132
2024-12-09 00:00:00-05:00,83.54000091552734,85.12000274658203,83.44000244140625,83.93000030517578,3144900,0.0,0.0,0.8693567053322804
2024-12-10 00:00:00-05:00,82.08000183105469,83.54000091552734,81.75,83.11000061035156,1713600,0.0,0.0,-1.7476646737758061
2024-12-11 00:00:00-05:00,81.93000030517578,82.30999755859375,81.38999938964844,82.04000091552734,1638900,0.0,0.0,-0.18275039294912698
2024-12-12 00:00:00-05:00,81.55999755859375,82.22000122070312,81.31999969482422,81.94000244140625,1128700,0.0,0.0,-0.4516083793528969
2024-12-13 00:00:00-05:00,80.83999633789062,81.5199966430664,80.5199966430664,81.0999984741211,1364000,0.0,0.0,-0.8827872023731587
2024-12-16 00:00:00-05:00,80.06999969482422,81.16000366210938,79.87999725341797,80.5,2307100,0.0,0.0,-0.9524946535722445
2024-12-17 00:00:00-05:00,80.12999725341797,80.7699966430664,79.68000030517578,79.93000030517578,1707800,0.0,0.0,0.07493138356740037
2024-12-18 00:00:00-05:00,77.62000274658203,80.61000061035156,77.51000213623047,80.30999755859375,2080200,0.0,0.0,-3.132403086072577
2024-12-19 00:00:00-05:00,76.8499984741211,78.4000015258789,76.80999755859375,78.11000061035156,2332400,0.0,0.0,-0.9920178371738642
2024-12-20 00:00:00-05:00,77.27999877929688,77.91000366210938,76.47000122070312,76.47000122070312,4854300,0.0,0.0,0.5595319631926721
2024-12-23 00:00:00-05:00,76.87999725341797,77.25,76.37999725341797,76.9800033569336,2108100,0.0,0.0,-0.5176003263422269
2024-12-24 00:00:00-05:00,77.25,77.44000244140625,76.56999969482422,76.81999969482422,545500,0.0,0.0,0.4812731006771376
2024-12-26 00:00:00-05:00,77.23999786376953,77.5,76.7300033569336,76.81999969482422,973600,0.0,0.0,-0.012947749165659328
2024-12-27 00:00:00-05:00,76.62999725341797,77.56999969482422,76.16000366210938,76.75,1389800,0.0,0.0,-0.7897470575121468
2024-12-30 00:00:00-05:00,75.94999694824219,76.3416976928711,75.45800018310547,76.02999877929688,1226912,0.0,0.0,-0.8873813513616602
