Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Pct_Change
2024-12-02 00:00:00-05:00,82.75,83.05000305175781,81.33999633789062,81.38999938964844,5658500,0.0,0.0,
2024-12-03 00:00:00-05:00,81.77999877929688,81.97000122070312,80.87999725341797,81.12000274658203,4840200,0.0,0.0,-0.3317319634981386
2024-12-04 00:00:00-05:00,80.68000030517578,81.69000244140625,80.19000244140625,81.51000213623047,6035200,0.0,0.0,0.480768462085468
2024-12-05 00:00:00-05:00,80.01000213623047,82.2300033569336,80.0,81.80999755859375,6796600,0.0,0.0,0.36804737394300346
2024-12-06 00:00:00-05:00,81.69000244140625,82.16999816894531,81.41000366210938,81.47000122070312,5071300,0.0,0.0,-0.41559265131027034
2024-12-09 00:00:00-05:00,82.47000122070312,82.81999969482422,80.94999694824219,81.51000213623047,9564300,0.0,0.0,0.049098950445558565
2024-12-10 00:00:00-05:00,81.5999984741211,83.12999725341797,81.2300033569336,82.31999969482422,5923400,0.0,0.0,0.9937400777391359
2024-12-11 00:00:00-05:00,82.5,82.72000122070312,81.91999816894531,82.41000366210938,6323800,0.0,0.0,0.10933426581489769
2024-12-12 00:00:00-05:00,82.76000213623047,83.30000305175781,82.4000015258789,82.8499984741211,7469400,0.0,0.0,0.533909467855076
2024-12-13 00:00:00-05:00,83.04000091552734,83.08000183105469,78.70999908447266,79.54000091552734,14089400,0.0,0.0,-3.9951691243876764
2024-12-16 00:00:00-05:00,79.98999786376953,79.98999786376953,77.66999816894531,77.94000244140625,12313800,0.0,0.0,-2.0115645658846715
2024-12-17 00:00:00-05:00,77.5,77.81999969482422,76.58000183105469,76.76000213623047,8409200,0.0,0.0,-1.5139854608843262
2024-12-18 00:00:00-05:00,76.76000213623047,77.16999816894531,73.51000213623047,73.97000122070312,14116700,0.0,0.0,-3.6347066673809714
2024-12-19 00:00:00-05:00,74.5199966430664,75.16000366210938,73.4000015258789,73.62000274658203,9749000,0.0,0.0,-0.4731627258958815
2024-12-20 00:00:00-05:00,73.5199966430664,75.0,73.31999969482422,74.30999755859375,12322400,0.0,0.0,0.9372382318251882
2024-12-23 00:00:00-05:00,73.97000122070312,74.73999786376953,73.73999786376953,74.70999908447266,6863600,0.0,0.0,0.5382876315713769
2024-12-24 00:00:00-05:00,74.73999786376953,74.86000061035156,74.12000274658203,74.83999633789062,2150300,0.0,0.0,0.174002482948743
2024-12-26 00:00:00-05:00,74.69999694824219,75.11000061035156,74.44000244140625,75.05000305175781,2926900,0.0,0.0,0.2806075950605891
2024-12-27 00:00:00-05:00,74.83999633789062,75.1500015258789,74.16999816894531,74.73999786376953,3967500,0.0,0.0,-0.41306485727187203
2024-12-30 00:00:00-05:00,74.0999984741211,74.31999969482422,73.31999969482422,73.93000030517578,5262124,0.0,0.0,-1.0837537887947946
